Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1.527916,-0.1080828,0.09084415,-0.8565607,-0.4855664,-0.2105913,-0.121147,0.8397619,
1.538947,-0.1081147,0.09086037,-0.8565149,-0.4855549,-0.2106012,-0.1212076,0.8397573,
1.550059,-0.1080565,0.09093189,-0.856473,-0.4855912,-0.2105674,-0.1212016,0.8397456,
1.561139,-0.1080282,0.0909462,-0.8565273,-0.4856154,-0.2106052,-0.1212474,0.8397155,
1.572218,-0.1081705,0.0908308,-0.8565197,-0.4856173,-0.2106209,-0.1211553,0.8397238,
1.5833,-0.1082067,0.09084034,-0.8565273,-0.4856296,-0.2105681,-0.1211609,0.8397291,
1.594547,-0.1082401,0.09083557,-0.8566036,-0.4856218,-0.2106537,-0.1210936,0.8397219,
1.605699,-0.1082718,0.09083652,-0.8566284,-0.4856445,-0.2106043,-0.1210944,0.839721,
1.61692,-0.1081531,0.09074879,-0.8565807,-0.4855776,-0.2106334,-0.121193,0.8397382,
1.627845,-0.1081867,0.09072685,-0.8565865,-0.4855628,-0.210618,-0.1212089,0.8397483,
1.639171,-0.1082144,0.09071827,-0.856596,-0.4855792,-0.2106201,-0.1211965,0.8397401,
1.65002,-0.1081648,0.09082317,-0.856513,-0.4855439,-0.210566,-0.1212164,0.8397712,
1.661137,-0.1081347,0.09078217,-0.8565025,-0.485493,-0.2106075,-0.1212217,0.8397895,
1.67216,-0.1081457,0.09077644,-0.8565006,-0.4854939,-0.2105687,-0.1212285,0.8397977,
1.683754,-0.1081374,0.09083939,-0.8564177,-0.485554,-0.2105368,-0.121226,0.8397713,
1.694445,-0.1081448,0.09083557,-0.8564415,-0.4854801,-0.2105695,-0.1212282,0.8398055,
1.705652,-0.1081705,0.09084129,-0.8564329,-0.4855342,-0.2105623,-0.1211938,0.839781,
1.716605,-0.1081977,0.09083748,-0.8564329,-0.4855157,-0.2106579,-0.1212076,0.8397658,
1.72786,-0.108211,0.09082031,-0.856432,-0.4854934,-0.2105996,-0.1211986,0.8397946,
